method,seed,server_step,rpi4_update_share,rpi4_weight_share
fedasync,1337,244,0.0,0.0
fedasync,1337,245,0.0,0.0
fedasync,1337,246,0.0,0.0
fedasync,1337,247,0.0,0.0
fedasync,1337,248,1.0,0.17149858514250882
fedasync,1337,249,0.0,0.0
fedasync,1337,250,0.0,0.0
fedasync,1337,251,0.0,0.0
fedasync,1337,252,0.0,0.0
fedasync,1337,253,1.0,0.18569533817705186
fedasync,1337,254,1.0,0.17677669529663687
fedasync,1337,255,0.0,0.0
fedasync,1337,256,0.0,0.0
fedasync,1337,257,0.0,0.0
fedasync,1337,258,0.0,0.0
fedasync,1337,259,0.0,0.0
fedasync,1337,260,0.0,0.0
fedasync,1337,261,0.0,0.0
fedasync,1337,262,0.0,0.0
fedasync,1337,263,0.0,0.0
fedasync,1337,264,0.0,0.0
fedasync,1337,265,0.0,0.0
fedasync,1337,266,0.0,0.0
fedasync,1337,267,0.0,0.0
fedasync,1337,268,0.0,0.0
fedasync,1337,269,0.0,0.0
fedasync,1337,270,1.0,0.24253562503633297
fedasync,1337,271,1.0,0.20851441405707477
fedasync,1337,272,0.0,0.0
fedasync,1337,273,0.0,0.0
fedasync,1337,274,1.0,0.17149858514250882
fedasync,1337,275,0.0,0.0
fedasync,1337,276,0.0,0.0
fedasync,1337,277,0.0,0.0
fedasync,1337,278,0.0,0.0
fedasync,1337,279,0.0,0.0
fedasync,1337,280,1.0,0.19611613513818404
fedasync,1337,281,1.0,0.16222142113076254
fedasync,1337,282,0.0,0.0
fedasync,1337,283,0.0,0.0
fedasync,1337,284,0.0,0.0
fedasync,1337,285,0.0,0.0
fedasync,1337,286,0.0,0.0
fedasync,1337,287,0.0,0.0
fedasync,1337,288,0.0,0.0
fedasync,1337,289,0.0,0.0
fedasync,1337,290,0.0,0.0
fedasync,1337,291,0.0,0.0
fedasync,1337,292,0.0,0.0
fedasync,1337,293,0.0,0.0
fedasync,1337,294,0.0,0.0
fedasync,1337,295,1.0,0.2
fedasync,1337,296,0.0,0.0
fedasync,1337,297,0.0,0.0
fedasync,1337,298,0.0,0.0
fedasync,1337,299,0.0,0.0
fedasync,1337,300,0.0,0.0
fedasync,1337,301,0.0,0.0
fedasync,1337,302,0.0,0.0
fedasync,1337,303,0.0,0.0
fedasync,1337,304,0.0,0.0
fedasync,1337,305,0.0,0.0
fedasync,1337,306,1.0,0.1690308509457033
fedasync,1337,307,0.0,0.0
fedasync,1337,308,0.0,0.0
fedasync,1337,309,0.0,0.0
fedasync,1337,310,0.0,0.0
fedasync,1337,311,1.0,0.1796053020267749
fedasync,1337,312,0.0,0.0
fedasync,1337,313,0.0,0.0
fedasync,1337,314,1.0,0.15811388300841897
fedasync,1337,315,1.0,0.17149858514250882
fedasync,1337,316,0.0,0.0
fedasync,1337,317,0.0,0.0
fedasync,1337,318,0.0,0.0
fedasync,1337,319,0.0,0.0
fedasync,1337,320,0.0,0.0
fedasync,1337,321,0.0,0.0
fedasync,1337,322,0.0,0.0
fedasync,1337,323,1.0,0.1889822365046136
fedasync,1337,324,0.0,0.0
fedasync,1337,325,0.0,0.0
fedasync,1337,326,0.0,0.0
fedasync,1337,327,0.0,0.0
fedasync,1337,328,0.0,0.0
fedasync,1337,329,0.0,0.0
fedasync,1337,330,0.0,0.0
fedasync,1337,331,0.0,0.0
fedasync,1337,332,1.0,0.19611613513818404
fedasync,1337,333,1.0,0.21320071635561041
fedasync,1337,334,0.0,0.0
fedasync,1337,335,0.0,0.0
fedasync,1337,336,0.0,0.0
fedasync,1337,337,0.0,0.0
fedasync,1337,338,0.0,0.0
fedasync,1337,339,0.0,0.0
fedasync,1337,340,0.0,0.0
fedasync,1337,341,0.0,0.0
fedasync,1337,342,0.0,0.0
fedasync,1337,343,0.0,0.0
fedasync,1337,344,0.0,0.0
fedasync,1337,345,0.0,0.0
fedasync,1337,346,0.0,0.0
fedasync,1337,347,0.0,0.0
fedasync,1337,348,1.0,0.17407765595569785
fedasync,1337,349,0.0,0.0
fedasync,1337,350,1.0,0.19245008972987526
fedasync,1337,351,0.0,0.0
fedasync,1337,352,1.0,0.16222142113076254
fedasync,1337,353,0.0,0.0
fedasync,1337,354,0.0,0.0
fedasync,1337,355,0.0,0.0
fedasync,1337,356,0.0,0.0
fedasync,1337,357,1.0,0.20412414523193154
fedasync,1337,358,0.0,0.0
fedasync,1337,359,0.0,0.0
fedasync,1337,360,0.0,0.0
fedasync,1337,361,0.0,0.0
fedasync,1337,362,0.0,0.0
fedasync,1337,363,0.0,0.0
fedasync,1337,364,0.0,0.0
fedasync,1337,365,0.0,0.0
fedasync,1337,366,0.0,0.0
fedasync,1337,367,0.0,0.0
fedasync,1337,368,0.0,0.0
fedasync,1337,369,1.0,0.1643989873053573
fedasync,1337,370,0.0,0.0
fedasync,1337,371,0.0,0.0
fedasync,1337,372,1.0,0.20412414523193154
fedasync,1337,373,0.0,0.0
fedasync,1337,374,1.0,0.20412414523193154
fedasync,1337,375,0.0,0.0
fedasync,1337,376,0.0,0.0
fedasync,1337,377,1.0,0.22360679774997896
fedasync,1337,378,0.0,0.0
fedasync,1337,379,0.0,0.0
fedasync,1337,380,0.0,0.0
fedasync,1337,381,0.0,0.0
fedasync,1337,382,0.0,0.0
fedasync,1337,383,0.0,0.0
fedasync,1337,384,0.0,0.0
fedasync,1337,385,0.0,0.0
fedasync,1337,386,0.0,0.0
fedasync,1337,387,0.0,0.0
fedasync,1337,388,0.0,0.0
fedasync,1337,389,0.0,0.0
fedasync,1337,390,1.0,0.16222142113076254
fedasync,1337,391,0.0,0.0
fedasync,1337,392,0.0,0.0
fedasync,1337,393,0.0,0.0
fedasync,1337,394,0.0,0.0
fedasync,1337,395,0.0,0.0
fedasync,1337,396,0.0,0.0
fedasync,1337,397,1.0,0.22360679774997896
fedasync,1337,398,0.0,0.0
fedasync,1337,399,1.0,0.2
fedasync,1337,400,0.0,0.0
fedasync,1337,401,0.0,0.0
fedasync,1337,402,0.0,0.0
fedasync,1337,403,1.0,0.17149858514250882
fedasync,1337,404,0.0,0.0
fedasync,1337,405,1.0,0.17407765595569785
fedasync,1337,406,0.0,0.0
fedasync,1337,407,0.0,0.0
fedasync,1337,408,0.0,0.0
fedasync,1337,409,0.0,0.0
fedasync,1337,410,0.0,0.0
fedasync,1337,411,0.0,0.0
fedasync,1337,412,0.0,0.0
fedasync,1337,413,0.0,0.0
fedasync,1337,414,0.0,0.0
fedasync,1337,415,1.0,0.25
fedasync,1337,416,0.0,0.0
fedasync,1337,417,1.0,0.22360679774997896
fedasync,1337,418,0.0,0.0
fedasync,1337,419,0.0,0.0
fedasync,1337,420,0.0,0.0
fedasync,1337,421,0.0,0.0
fedasync,1337,422,0.0,0.0
fedasync,1337,423,0.0,0.0
fedasync,1337,424,0.0,0.0
fedasync,1337,425,0.0,0.0
fedasync,1337,426,0.0,0.0
fedasync,1337,427,0.0,0.0
fedasync,1337,428,0.0,0.0
fedasync,1337,429,0.0,0.0
fedasync,1337,430,1.0,0.15811388300841897
fedasync,1337,431,1.0,0.2672612419124244
fedasync,1337,432,0.0,0.0
fedasync,1337,433,1.0,0.1889822365046136
fedasync,1337,434,1.0,0.1796053020267749
fedasync,1337,435,0.0,0.0
fedasync,1337,436,0.0,0.0
fedasync,1337,437,0.0,0.0
fedasync,1337,438,0.0,0.0
fedasync,1337,439,1.0,0.20412414523193154
fedasync,1337,440,0.0,0.0
fedasync,1337,441,0.0,0.0
fedasync,1337,442,0.0,0.0
fedasync,1337,443,0.0,0.0
fedasync,1337,444,0.0,0.0
fedasync,1337,445,0.0,0.0
fedasync,1337,446,0.0,0.0
fedasync,1337,447,0.0,0.0
fedasync,1337,448,0.0,0.0
fedasync,1337,449,0.0,0.0
fedasync,1337,450,1.0,0.22941573387056174
fedasync,1337,451,0.0,0.0
fedasync,1337,452,0.0,0.0
fedasync,1337,453,0.0,0.0
fedasync,1337,454,0.0,0.0
fedasync,1337,455,1.0,0.25
fedasync,1337,456,0.0,0.0
fedasync,1337,457,0.0,0.0
fedasync,1337,458,1.0,0.20412414523193154
fedasync,1337,459,0.0,0.0
fedasync,1337,460,0.0,0.0
fedasync,1337,461,0.0,0.0
fedasync,1337,462,0.0,0.0
fedasync,1337,463,0.0,0.0
fedasync,1337,464,0.0,0.0
fedasync,1337,465,0.0,0.0
fedasync,1337,466,1.0,0.16666666666666666
fedasync,1337,467,0.0,0.0
fedasync,1337,468,0.0,0.0
fedasync,1337,469,0.0,0.0
fedasync,1337,470,1.0,0.1643989873053573
fedasync,1337,471,0.0,0.0
fedasync,1337,472,0.0,0.0
fedasync,1337,473,0.0,0.0
fedasync,1337,474,0.0,0.0
fedasync,1337,475,0.0,0.0
fedasync,1337,476,1.0,0.19611613513818404
fedasync,1337,477,0.0,0.0
fedasync,1337,478,0.0,0.0
fedasync,1337,479,0.0,0.0
fedasync,1337,480,0.0,0.0
fedasync,1337,481,1.0,0.19611613513818404
fedasync,1337,482,0.0,0.0
fedasync,1337,483,0.0,0.0
fedasync,1337,484,0.0,0.0
fedasync,1337,485,0.0,0.0
fedasync,1337,486,0.0,0.0
fedasync,1337,487,0.0,0.0
fedasync,1337,488,1.0,0.18257418583505536
fedasync,1337,489,0.0,0.0
fedasync,1337,490,0.0,0.0
fedasync,1337,491,0.0,0.0
fedasync,1337,492,0.0,0.0
fedasync,1337,493,0.0,0.0
fedasync,1337,494,1.0,0.23570226039551587
fedasync,1337,495,0.0,0.0
fedasync,1337,496,0.0,0.0
