run_id,regime,method,seed,model_rate,eval_acc,device_type,client_model_rate,node_id
bx49lc5k,iid,heterofl,1338,0.125,0.618,rpi4,0.25,15496990414154725334
bx49lc5k,iid,heterofl,1338,0.125,0.6,rpi4,0.25,17406322192199315253
bx49lc5k,iid,heterofl,1338,0.125,0.596,rpi4,0.25,18418689549988263872
bx49lc5k,iid,heterofl,1338,0.25,0.732,rpi5,1.0,14156708895825934231
bx49lc5k,iid,heterofl,1338,0.25,0.714,rpi5,0.5,4568389179644570140
bx49lc5k,iid,heterofl,1338,0.25,0.736,rpi5,1.0,9840277107990619066
bx49lc5k,iid,heterofl,1338,0.25,0.77,rpi5,0.5,1026344332911400302
bx49lc5k,iid,heterofl,1338,0.25,0.716,rpi5,1.0,10669211569253228091
bx49lc5k,iid,heterofl,1338,0.25,0.75,rpi5,1.0,10614291453297173530
bx49lc5k,iid,heterofl,1338,0.25,0.742,rpi5,1.0,14224728853299755568
bx49lc5k,iid,heterofl,1338,0.25,0.728,rpi5,0.5,7822628701196313541
bx49lc5k,iid,heterofl,1338,0.25,0.718,rpi5,0.5,8674151881999616
bx49lc5k,iid,heterofl,1338,0.25,0.748,rpi5,0.5,9509756222588831437
bx49lc5k,iid,heterofl,1338,0.25,0.742,rpi4,0.125,6553601236479154295
bx49lc5k,iid,heterofl,1338,0.25,0.734,rpi4,0.25,17318750259244794732
bx49lc5k,iid,heterofl,1338,0.25,0.708,rpi4,0.25,17406322192199315253
bx49lc5k,iid,heterofl,1338,0.25,0.754,rpi4,0.125,14126041400291355866
bx49lc5k,iid,heterofl,1338,0.25,0.744,rpi4,0.25,17449783310299713536
bx49lc5k,iid,heterofl,1338,0.25,0.694,rpi4,0.125,440899273524989016
bx49lc5k,iid,heterofl,1338,0.25,0.722,rpi4,0.125,5369298988829055689
bx49lc5k,iid,heterofl,1338,0.25,0.75,rpi4,0.25,15496990414154725334
bx49lc5k,iid,heterofl,1338,0.25,0.748,rpi4,0.125,12752386386276077351
bx49lc5k,iid,heterofl,1338,0.25,0.752,rpi4,0.25,18418689549988263872
bx49lc5k,iid,heterofl,1338,0.5,0.794,rpi5,1.0,10614291453297173530
bx49lc5k,iid,heterofl,1338,0.5,0.812,rpi5,0.5,1026344332911400302
bx49lc5k,iid,heterofl,1338,0.5,0.77,rpi5,0.5,4568389179644570140
bx49lc5k,iid,heterofl,1338,0.5,0.81,rpi5,0.5,9509756222588831437
bx49lc5k,iid,heterofl,1338,0.5,0.776,rpi5,0.5,8674151881999616
bx49lc5k,iid,heterofl,1338,0.5,0.744,rpi5,1.0,10669211569253228091
bx49lc5k,iid,heterofl,1338,0.5,0.812,rpi5,1.0,9840277107990619066
