case,seed,run_id,wall_clock_s,wall_clock_min,server_round,eval_acc
C,1337,tzfxbsw3,2512.144148176,41.86906913626667,17,0.6407
C,1337,tzfxbsw3,2623.787431449,43.72979052415,18,0.6446
C,1337,tzfxbsw3,2739.282353082,45.6547058847,19,0.6491
C,1337,tzfxbsw3,2852.83526002,47.547254333666665,20,0.6534
C,1338,2qfr68hm,157.052070311,2.6175345051833334,,0.0834
C,1338,2qfr68hm,570.097948102,9.501632468366667,1,0.3287
C,1338,2qfr68hm,689.028205942,11.483803432366667,2,0.4295
C,1338,2qfr68hm,806.931660956,13.448861015933334,3,0.4804
C,1338,2qfr68hm,925.099857422,15.418330957033334,4,0.5162
C,1338,2qfr68hm,1042.952491393,17.382541523216666,5,0.5458
C,1338,2qfr68hm,1161.765265705,19.362754428416668,6,0.57
C,1338,2qfr68hm,1280.502912603,21.341715210049998,7,0.5871
C,1338,2qfr68hm,1396.353823316,23.272563721933334,8,0.5992
C,1338,2qfr68hm,1514.236619733,25.23727699555,9,0.6109
C,1338,2qfr68hm,1634.111139052,27.235185650866665,10,0.6222
C,1338,2qfr68hm,1750.222969599,29.17038282665,11,0.6307
C,1338,2qfr68hm,1869.118988231,31.151983137183333,12,0.6347
C,1338,2qfr68hm,1987.170120133,33.11950200221666,13,0.6403
C,1338,2qfr68hm,2105.057752351,35.08429587251667,14,0.6432
C,1338,2qfr68hm,2223.901224023,37.06502040038333,15,0.6482
C,1338,2qfr68hm,2341.808767689,39.03014612815,16,0.6502
C,1338,2qfr68hm,2459.607140932,40.99345234886667,17,0.6524
C,1338,2qfr68hm,2577.449866056,42.957497767599996,18,0.656
C,1338,2qfr68hm,2694.620452319,44.91034087198333,19,0.6559
C,1338,2qfr68hm,2813.498846329,46.89164743881667,20,0.6594
C,1339,ob28xz99,885.030719275,14.750511987916667,,0.0923
C,1339,ob28xz99,2171.746162841,36.19576938068334,1,0.256
C,1339,ob28xz99,2287.594552806,38.1265758801,2,0.3569
C,1339,ob28xz99,2406.421188789,40.10701981315,3,0.4063
C,1339,ob28xz99,2524.168491816,42.0694748636,4,0.4451
C,1339,ob28xz99,2643.253290109,44.05422150181666,5,0.4869
C,1339,ob28xz99,2759.890735744,45.99817892906666,6,0.5087
C,1339,ob28xz99,2879.747418908,47.995790315133334,7,0.5289
C,1339,ob28xz99,2997.543378865,49.959056314416664,8,0.5451
C,1339,ob28xz99,3115.574104853,51.92623508088333,9,0.5554
C,1339,ob28xz99,3234.516107841,53.90860179735,10,0.5632
C,1339,ob28xz99,3352.324953172,55.872082552866665,11,0.5698
C,1339,ob28xz99,3469.031569203,57.817192820049996,12,0.5784
C,1339,ob28xz99,3586.91809354,59.78196822566667,13,0.5847
C,1339,ob28xz99,3704.632050756,61.7438675126,14,0.5909
C,1339,ob28xz99,3823.667727395,63.72779545658333,15,0.5981
C,1339,ob28xz99,3941.598846167,65.69331410278333,16,0.6018
C,1339,ob28xz99,4059.377909841,67.65629849735,17,0.6048
C,1339,ob28xz99,4177.15626842,69.61927114033332,18,0.6088
C,1339,ob28xz99,4294.946924264,71.58244873773333,19,0.6119
C,1339,ob28xz99,4414.176338487,73.56960564145,20,0.6161
D,1337,6mdnoagt,70.170788712,1.1695131452,,0.086
D,1337,6mdnoagt,236.774451017,3.946240850283333,1,0.3026
D,1337,6mdnoagt,351.475120219,5.857918670316667,2,0.375
D,1337,6mdnoagt,466.153876358,7.769231272633333,3,0.4157
D,1337,6mdnoagt,582.19134242,9.703189040333333,4,0.4572
D,1337,6mdnoagt,698.032052412,11.633867540199999,5,0.4932
D,1337,6mdnoagt,810.992917262,13.516548621033333,6,0.5202
D,1337,6mdnoagt,926.736806856,15.445613447600001,7,0.5425
D,1337,6mdnoagt,1041.453882638,17.357564710633334,8,0.5583
D,1337,6mdnoagt,1157.170424201,19.286173736683335,9,0.5723
D,1337,6mdnoagt,1271.918748253,21.198645804216667,10,0.5872
D,1337,6mdnoagt,1385.668639377,23.094477322950002,11,0.5927
D,1337,6mdnoagt,1501.539965372,25.025666089533335,12,0.6169
D,1337,6mdnoagt,1616.328542316,26.938809038600002,13,0.6244
D,1337,6mdnoagt,1731.129571326,28.8521595221,14,0.6202
D,1337,6mdnoagt,1847.140238833,30.785670647216666,15,0.6362
D,1337,6mdnoagt,1961.236583824,32.68727639706667,16,0.6371
D,1337,6mdnoagt,2076.024342638,34.60040571063333,17,0.6372
D,1337,6mdnoagt,2191.587359103,36.52645598505,18,0.6388
D,1337,6mdnoagt,2306.457120214,38.440952003566665,19,0.6415
D,1337,6mdnoagt,2421.284940845,40.35474901408334,20,0.6435
D,1338,pmkh74e7,978.110284531,16.301838075516667,,0.0905
D,1338,pmkh74e7,1787.354739301,29.789245655016668,1,0.2763
D,1338,pmkh74e7,1904.934076079,31.748901267983335,2,0.4326
D,1338,pmkh74e7,2023.657935902,33.727632265033336,3,0.4688
D,1338,pmkh74e7,2141.272583471,35.68787639118333,4,0.5069
D,1338,pmkh74e7,2258.990786956,37.64984644926667,5,0.5377
D,1338,pmkh74e7,2376.687379354,39.61145632256667,6,0.5545
D,1338,pmkh74e7,2495.468614099,41.59114356831667,7,0.5725
D,1338,pmkh74e7,2613.239533823,43.55399223038333,8,0.5818
D,1338,pmkh74e7,2732.193383432,45.53655639053333,9,0.5817
D,1338,pmkh74e7,2849.953438843,47.49922398071667,10,0.5899
D,1338,pmkh74e7,2967.660408715,49.46100681191667,11,0.6032
D,1338,pmkh74e7,3083.580569998,51.39300949996667,12,0.6037
D,1338,pmkh74e7,3198.324326205,53.30540543675,13,0.6137
D,1338,pmkh74e7,3316.03101825,55.267183637500004,14,0.6225
D,1338,pmkh74e7,3433.730944428,57.2288490738,15,0.6203
