regime,topology,method,x,n,eval_acc_mean,eval_acc_std
iid,mixed,fedbuff,310.0,3,0.5803666666666666,0.0050143128475727645
iid,mixed,fedbuff,320.0,3,0.5844,0.00513906606301182
iid,mixed,fedbuff,330.0,3,0.5870666666666667,0.004355838993045218
iid,mixed,fedbuff,340.0,3,0.5900333333333333,0.0032254198693089904
iid,mixed,fedbuff,350.0,3,0.592,0.0031192947920964907
iid,mixed,fedbuff,360.0,3,0.5941666666666667,0.003801753981168838
iid,mixed,fedbuff,370.0,3,0.5962666666666667,0.004104063027456244
iid,mixed,fedbuff,380.0,3,0.5976,0.0032046840717923925
iid,mixed,fedbuff,390.0,3,0.6000333333333333,0.0009073771725877731
iid,mixed,fedbuff,400.0,3,0.6004333333333333,0.0002516611478423821
iid,mixed,fedstaleweight,10.0,3,0.3757333333333333,0.021802828562673536
iid,mixed,fedstaleweight,20.0,3,0.4063666666666667,0.006987369557518273
iid,mixed,fedstaleweight,30.0,3,0.41736666666666666,0.0013650396819628807
iid,mixed,fedstaleweight,40.0,3,0.42416666666666664,0.0023180451534285133
iid,mixed,fedstaleweight,50.0,3,0.4423333333333333,0.01493463535990531
iid,mixed,fedstaleweight,60.0,3,0.44916666666666666,0.015400108224727935
iid,mixed,fedstaleweight,70.0,3,0.4705,0.013018448448259862
iid,mixed,fedstaleweight,80.0,3,0.48856666666666665,0.008015193904911696
iid,mixed,fedstaleweight,90.0,3,0.5,0.006755738301621839
iid,mixed,fedstaleweight,100.0,3,0.5111333333333333,0.004244211744639218
iid,mixed,fedstaleweight,110.0,3,0.5207,0.005370288632839039
iid,mixed,fedstaleweight,120.0,3,0.5293666666666667,0.00535381483928357
iid,mixed,fedstaleweight,130.0,3,0.5340666666666667,0.003493326972004386
iid,mixed,fedstaleweight,140.0,3,0.5384333333333333,0.0024986663109213708
iid,mixed,fedstaleweight,150.0,3,0.5435333333333333,0.0024337899115028697
iid,mixed,fedstaleweight,160.0,3,0.5466333333333333,0.005216640042530581
iid,mixed,fedstaleweight,170.0,3,0.5509666666666666,0.004015387071420809
iid,mixed,fedstaleweight,180.0,3,0.5573,0.002128379665379261
iid,mixed,fedstaleweight,190.0,3,0.5621999999999999,0.0013228756555323175
iid,mixed,fedstaleweight,200.0,3,0.5698666666666666,0.0016041612554021157
iid,mixed,fedstaleweight,210.0,3,0.5752333333333334,0.0035472994422987916
iid,mixed,fedstaleweight,220.0,3,0.5811666666666667,0.004401514890731766
iid,mixed,fedstaleweight,230.0,3,0.5803666666666666,0.004050102879351724
iid,mixed,fedstaleweight,240.0,3,0.5846,0.0032186953878862
iid,mixed,fedstaleweight,250.0,3,0.5898,0.0026888659319497456
iid,mixed,fedstaleweight,260.0,3,0.5934,0.0010999999999999899
iid,mixed,fedstaleweight,270.0,3,0.5956666666666667,0.001965536398374051
iid,mixed,fedstaleweight,280.0,3,0.6015666666666667,0.0006027713773341566
noniid,all_rpi5,fedavg,15.0,3,0.28906666666666664,0.016839635783868177
noniid,all_rpi5,fedavg,30.0,3,0.3518333333333334,0.022655315785336864
noniid,all_rpi5,fedavg,45.0,3,0.38326666666666664,0.0268717943824623
noniid,all_rpi5,fedavg,60.0,3,0.40829999999999994,0.026448251359967093
noniid,all_rpi5,fedavg,75.0,3,0.43183333333333335,0.02725258397534687
noniid,all_rpi5,fedavg,90.0,3,0.45070000000000005,0.025374593592804588
noniid,all_rpi5,fedavg,105.0,3,0.4638,0.02407633693068776
noniid,all_rpi5,fedavg,120.0,3,0.47733333333333333,0.02244489548501691
noniid,all_rpi5,fedavg,135.0,3,0.49029999999999996,0.024538337351988602
noniid,all_rpi5,fedavg,150.0,3,0.5000666666666667,0.024554089951234856
noniid,all_rpi5,fedavg,165.0,3,0.5099666666666667,0.02318821539776901
noniid,all_rpi5,fedavg,180.0,3,0.5176666666666666,0.022793931941052524
noniid,all_rpi5,fedavg,195.0,3,0.5248333333333334,0.02379208551878822
noniid,all_rpi5,fedavg,210.0,3,0.5336666666666666,0.022287739529466284
noniid,all_rpi5,fedavg,225.0,3,0.5408333333333334,0.021017690961029338
noniid,all_rpi5,fedavg,240.0,3,0.5477333333333333,0.02050471490495135
noniid,all_rpi5,fedavg,255.0,3,0.5545,0.01975449315978523
noniid,all_rpi5,fedavg,270.0,3,0.5603666666666667,0.019619463125512167
noniid,all_rpi5,fedavg,285.0,3,0.5659,0.01897709145259093
noniid,all_rpi5,fedavg,300.0,3,0.5711666666666667,0.017696421483829255
noniid,all_rpi5,fedavg,315.0,3,0.5752,0.01749485638694988
noniid,all_rpi5,fedavg,330.0,3,0.5795333333333333,0.016700099800100985
noniid,all_rpi5,fedavg,345.0,3,0.5841333333333333,0.016536726802282627
noniid,all_rpi5,fedavg,360.0,3,0.5862666666666666,0.014686501739125387
noniid,all_rpi5,fedavg,375.0,3,0.5894333333333334,0.011960072463548563
noniid,all_rpi5,fedavg,390.0,3,0.5920666666666666,0.009650043177796318
noniid,all_rpi5,fedavg,405.0,3,0.5942333333333333,0.007792517778826882
noniid,all_rpi5,fedavg,420.0,3,0.5963333333333334,0.005960145412096319
noniid,all_rpi5,fedavg,435.0,3,0.5980333333333333,0.004521430452117251
noniid,all_rpi5,fedavg,450.0,3,0.6005333333333334,0.0023288051299611154
noniid,all_rpi5,fedavg,465.0,3,0.6023333333333333,0.0007505553499464949
noniid,all_rpi5,fedbuff,10.0,3,0.2504,0.01605864253291666
noniid,all_rpi5,fedbuff,20.0,3,0.28919999999999996,0.01371969387413582
noniid,all_rpi5,fedbuff,30.0,3,0.2968,0.01030582359639443
noniid,all_rpi5,fedbuff,40.0,3,0.31803333333333333,0.0017616280348965092
noniid,all_rpi5,fedbuff,50.0,3,0.32348333333333334,0.012999070479589432
noniid,all_rpi5,fedbuff,60.0,3,0.32503333333333334,0.020801282011773534
noniid,all_rpi5,fedbuff,70.0,3,0.33749999999999997,0.029601858049791395
noniid,all_rpi5,fedbuff,80.0,3,0.37385,0.012259995921695903
noniid,all_rpi5,fedbuff,90.0,3,0.3769,0.01542595215861894
noniid,all_rpi5,fedbuff,100.0,3,0.3813166666666667,0.007260567011834098
noniid,all_rpi5,fedbuff,110.0,3,0.38926666666666665,0.00922297854997688
noniid,all_rpi5,fedbuff,120.0,3,0.3997833333333333,0.002220547980416832
noniid,all_rpi5,fedbuff,130.0,3,0.41463333333333335,0.014307457263026615
noniid,all_rpi5,fedbuff,140.0,3,0.42755000000000004,0.011249111075991722
