case,server_round,n,wall_clock_mean_min,wall_clock_std_min,eval_acc_mean_pct,eval_acc_std_pct
D,6,3,13.063106046294443,0.879490560040623,55.82999999999999,0.9094503834734468
D,7,3,14.904408227272222,1.031534814175782,57.723333333333336,0.7574518686578908
D,8,3,16.749054119972225,1.1736695798692802,59.40333333333333,0.7950052410728724
D,9,3,18.56772232032778,1.3415973452816514,60.69333333333333,0.995004187595879
D,10,3,20.407338675866665,1.4845629198826054,61.88666666666666,1.2391260360969447
D,11,3,22.231858455422223,1.6447489511108677,62.94,1.1411835960966146
D,12,3,24.0817255481,1.787311397319635,63.89333333333334,1.1416800485833678
D,13,3,25.914240548827777,1.954359293838884,64.7,1.2529565036345083
D,14,3,27.749604748966664,2.1150784681510477,65.58333333333333,1.4436874084556237
D,15,3,29.584092356244444,2.283748822765908,66.36666666666666,1.1081666541334492
D,16,3,31.432286544827775,2.438434013073076,67.06333333333333,0.9591836807063265
D,17,3,33.245528725094445,2.6000347159595116,67.68333333333334,1.0818656724997502
D,18,3,35.11322398308333,2.7557561509069677,68.12666666666667,1.047393590458397
D,19,3,36.93679519018889,2.902939857821201,68.80333333333333,1.067255046056627
D,20,3,38.775704196683336,3.0406407903152397,69.41,1.1007724560507484
E,0,3,1.9262858332,1.2676961906153286,9.88,0.8098765338000604
E,1,3,9.360418492133334,1.7455314168309342,30.189999999999998,2.7318308878845303
E,2,3,16.18589377753889,1.9858846823017984,40.85333333333333,1.8436196281590551
E,3,3,22.885671985866665,2.343347305880242,46.74666666666667,2.599198594438936
E,4,3,29.558123892166666,2.6867859354721704,51.203333333333326,2.3879977666097845
E,5,3,36.26032078704444,3.035971802855423,54.18666666666667,2.2104826019069566
E,6,3,42.977674813022226,3.4695481189547652,56.76333333333333,1.7992868957821393
E,7,3,49.65635893863333,3.7929512537497097,58.85666666666666,1.6228781018096594
E,8,3,56.381833447683334,4.09118148996794,60.61666666666667,1.680069443009223
E,9,3,63.078278090733335,4.426638261980126,62.19,1.5823716377640227
E,10,3,69.81761226809999,4.768752360083675,63.51666666666667,1.5213261758522874
E,11,3,76.55336221425556,5.130988873152321,64.69333333333334,1.2609652387489991
E,12,3,83.31702902586666,5.453763811149931,65.60666666666667,1.3444825522606632
E,13,3,90.05731961184445,5.780159364303797,66.41666666666667,1.4534900527122008
E,14,3,96.80764832579445,6.094377250001549,67.25333333333333,1.2820426409965267
E,15,3,103.51999058428889,6.416584703122328,67.86666666666666,1.4145435070485917
E,16,3,110.24241629192223,6.732082830399012,68.67333333333333,1.214303641324248
E,17,3,116.97518029301112,7.109371862640178,69.28666666666666,1.0925352778438533
E,18,3,123.70670891189445,7.4430660058323985,69.98333333333333,1.0753759032698
E,19,3,130.4408233876778,7.750205043105086,70.47333333333333,1.1913157991621386
E,20,3,137.18028397005,8.062156771948946,70.97,1.0839280418920814
