pair,method,seed,mix,avg_params,train_duration_s,score,run_id,created_at
pair_a_c,fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.25,7:0.25,8:0.25,9:0.25",234352.4,27.412379522563423,0.683,pmas72yk,2026-04-26T20:48:22Z
pair_a_c,fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.25,7:0.25,8:0.25,9:0.25",234352.4,27.294266147795135,0.6814,wxuc42q9,2026-04-30T05:11:32Z
pair_a_c,fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.25,8:0.25,9:0.25",269334.8,27.357642551348544,0.6782,svxyx6ue,2026-04-20T13:15:33Z
pair_a_c,fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.25,8:0.25,9:0.25",269334.8,27.401683702954323,0.6813,iki9kuv6,2026-04-26T22:06:05Z
pair_a_c,fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.25,8:0.25,9:0.25",269334.8,27.34257687263307,0.6808,p85e9s2s,2026-04-30T07:03:15Z
pair_a_c,fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.25,9:0.25",304317.2,27.311214801005555,0.6806,dlfhyxzv,2026-04-20T14:32:41Z
pair_a_c,fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.25,9:0.25",304317.2,27.41786594359437,0.6791,q1ia4c9t,2026-04-26T23:23:34Z
pair_a_c,fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.25,9:0.25",304317.2,27.30369688572828,0.6836,wz9gj715,2026-04-30T08:41:54Z
pair_a_c,fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.25",339299.6,27.392365319572853,0.6794,kk0affdw,2026-04-20T15:50:23Z
pair_a_c,fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.25",339299.6,27.362320513424947,0.6814,wpsbfism,2026-04-27T00:47:28Z
pair_a_c,fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.25",339299.6,27.27806827767636,0.6856,evzblpqt,2026-04-30T10:07:00Z
pair_a_c,heterofl,1337,"0:1,1:0.25,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",59440.4,8.52131192253437,0.5807,cl93uzpq,2026-04-20T03:58:49Z
pair_a_c,heterofl,1338,"0:1,1:0.25,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",59440.4,8.405288215901237,0.5884,egalgk01,2026-04-26T13:29:49Z
pair_a_c,heterofl,1339,"0:1,1:0.25,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",59440.4,8.444920657281182,0.5854,pulnunqo,2026-04-29T20:21:43Z
pair_a_c,heterofl,1337,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,10.391571894602384,0.647,i0bawia5,2026-04-20T06:01:58Z
pair_a_c,heterofl,1338,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,10.39072352561634,0.6464,bg4sm4s0,2026-04-26T14:45:41Z
pair_a_c,heterofl,1339,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,10.37979493268358,0.6491,qvxpvkck,2026-04-29T21:38:34Z
pair_a_c,heterofl,1337,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,12.285241006116848,0.6673,6p4t5kmi,2026-04-20T07:17:56Z
pair_a_c,heterofl,1338,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,12.31846077280934,0.6589,0amh2awf,2026-04-26T16:01:58Z
pair_a_c,heterofl,1339,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,12.29020406107884,0.663,1qfu53ru,2026-04-29T22:54:43Z
pair_a_c,heterofl,1337,"0:1,1:1,2:1,3:1,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",164387.6,14.343745693319942,0.6724,tkh0af0q,2026-04-20T08:34:10Z
pair_a_c,heterofl,1338,"0:1,1:1,2:1,3:1,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",164387.6,14.298462215438486,0.6676,om37xc3z,2026-04-26T17:18:39Z
pair_a_c,heterofl,1339,"0:1,1:1,2:1,3:1,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",164387.6,14.18009295554948,0.6703,u1hwvc00,2026-04-30T00:23:53Z
pair_a_c,heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",199370.0,16.141922580450775,0.6764,vpp5ll4j,2026-04-20T09:50:28Z
pair_a_c,heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",199370.0,16.171548698330298,0.6679,ahcq4a8t,2026-04-26T18:35:29Z
pair_a_c,heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",199370.0,16.186542608187303,0.6728,474npjmr,2026-04-30T02:06:24Z
pair_a_c,heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.25,7:0.25,8:0.25,9:0.25",234352.4,18.037598471785895,0.6799,4ms9vjss,2026-04-20T11:07:04Z
pair_a_c,heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.25,7:0.25,8:0.25,9:0.25",234352.4,18.163466942141532,0.6709,jy0vs0ol,2026-04-26T19:56:28Z
pair_a_c,heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.25,7:0.25,8:0.25,9:0.25",234352.4,18.053788824682123,0.6759,3q6zg6ck,2026-04-30T03:59:38Z
pair_a_c,heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.25,8:0.25,9:0.25",269334.8,19.990369642397855,0.6809,7khoa773,2026-04-20T12:24:38Z
pair_a_c,heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.25,8:0.25,9:0.25",269334.8,20.005582474870607,0.6739,m4nmcjxs,2026-04-26T21:14:27Z
pair_a_c,heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.25,8:0.25,9:0.25",269334.8,20.00806843432365,0.6756,moq0kxlg,2026-04-30T05:52:23Z
pair_a_c,heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.25,9:0.25",304317.2,22.10168299722718,0.6828,2yvvtmg3,2026-04-20T13:41:25Z
pair_a_c,heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.25,9:0.25",304317.2,21.908240816096075,0.6767,psy91r2c,2026-04-26T22:32:10Z
pair_a_c,heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.25,9:0.25",304317.2,21.993765087425707,0.6772,ssdk4bkk,2026-04-30T07:45:42Z
