task,regime,method,label,seed,run_id,target_acc,target_reached,best_acc,final_acc,target_client_trips,target_wall_clock_s,post_warmup_target_wall_clock_s,final_client_trips,runtime_s,rpi4_weight_share,coverage_gain_mean,coverage_mass_mean
cifar10_cnn,noniid,fedbuff_full,Full-model FedBuff,1339,wr5u7vc0,0.6,True,0.6144,0.6144,140.0,1583.0828559610018,1248.152419680002,140.0,1603.5213029049992,0.34058470246549705,,
fashion_mnist_cnn,iid,heterofl,HeteroFL,1337,xbk5a0d7,0.8,True,0.8026,0.8026,260.0,737.6027550500003,682.7891506529995,260.0,824.9311675400022,0.5,,
fashion_mnist_cnn,iid,heterofl,HeteroFL,1338,3xe4f92g,0.8,True,0.8003,0.8003,260.0,743.5635351660021,688.7821403620037,260.0,832.4669316840009,0.5,,
fashion_mnist_cnn,iid,heterofl,HeteroFL,1339,9kpa75am,0.8,True,0.8027,0.8027,300.0,849.5810545470013,794.7815448559995,300.0,939.9668688969978,0.5,,
fashion_mnist_cnn,iid,async_heterofl,Async HeteroFL,1337,5g63o6yh,0.8,True,0.8031,0.8031,360.0,727.4163531020022,628.9726904749987,360.0,734.4442099320004,0.40992307284073914,,
fashion_mnist_cnn,iid,async_heterofl,Async HeteroFL,1338,rt6cqg71,0.8,True,0.8016,0.8016,300.0,614.8680455089998,516.0106846119961,300.0,621.8456169229976,0.4072120789001419,,
fashion_mnist_cnn,iid,async_heterofl,Async HeteroFL,1339,hngxry4a,0.8,True,0.8015,0.8015,380.0,779.8389032819978,678.1305198000045,380.0,786.8996633869974,0.4187304017815332,,
fashion_mnist_cnn,iid,fedcover_025,FedCover (gamma=0.25),1337,jl6nu6r3,0.8,True,0.8022,0.8022,260.0,535.6280325859989,440.08792540399736,260.0,542.6494357730044,0.39660092085348664,1.2641758918762207,0.4002626836299896
fashion_mnist_cnn,iid,fedcover_025,FedCover (gamma=0.25),1338,56obpb0t,0.8,True,0.8007,0.8007,260.0,550.5685796660036,451.276944285004,260.0,557.577942021002,0.41678940454180824,1.475355863571167,0.2296668142080307
fashion_mnist_cnn,iid,fedcover_025,FedCover (gamma=0.25),1339,qz67k7o2,0.8,True,0.8007,0.8007,280.0,573.8244529160002,476.2529450949951,280.0,580.6471703279967,0.40354809851609247,1.3244962692260742,0.32653501629829407
fashion_mnist_cnn,iid,fedcover_050,FedCover (gamma=0.5),1337,buktl4bo,0.8,True,0.803,0.803,260.0,548.4666600950004,448.8963875610061,260.0,555.531200049998,0.40321566047844504,1.5792622566223145,0.416279673576355
fashion_mnist_cnn,iid,fedcover_050,FedCover (gamma=0.5),1338,4nkgrs9s,0.8,True,0.8009,0.8009,260.0,551.6606819330045,450.7463835939998,260.0,558.6588993629994,0.4000739210978005,1.925536513328552,0.22693417966365817
fashion_mnist_cnn,iid,fedcover_050,FedCover (gamma=0.5),1339,us7y074d,0.8,True,0.8033,0.8033,260.0,559.0122210120026,462.9349308630044,260.0,566.0888610819966,0.4139258840237552,1.8628742694854736,0.2519315779209137
fashion_mnist_cnn,iid,fedcover_100,FedCover (gamma=1.0),1337,d8rmrpwj,0.8,True,0.8016,0.8016,200.0,421.3602804850016,327.7889797230019,200.0,428.36817140100175,0.4049991810790004,1.924994945526123,0.416279673576355
fashion_mnist_cnn,iid,fedcover_100,FedCover (gamma=1.0),1338,dk2xt4dn,0.8,True,0.8071,0.8071,200.0,427.36461299499933,331.04460431400366,200.0,434.573080741,0.3937266612014971,1.985281467437744,0.3122178316116333
fashion_mnist_cnn,iid,fedcover_100,FedCover (gamma=1.0),1339,b6n8wobd,0.8,True,0.8049,0.8049,220.0,476.58697169799416,377.574541725,220.0,483.7409815459978,0.39904194414593036,1.9942994117736816,0.22087110579013824
fashion_mnist_cnn,iid,fedbuff_full,Full-model FedBuff,1337,8d3qk95x,0.8,True,0.8074,0.8074,180.0,473.4421460820013,362.1852395160022,180.0,480.2730431259988,0.3515396950180583,,
fashion_mnist_cnn,iid,fedbuff_full,Full-model FedBuff,1338,9ned06a0,0.8,True,0.8012,0.8012,140.0,386.3068539989981,273.9484381500006,140.0,393.2169735889984,0.364978094157738,,
fashion_mnist_cnn,iid,fedbuff_full,Full-model FedBuff,1339,aqwbw2vt,0.8,True,0.8039,0.8039,160.0,431.46013615898846,318.39470700299717,160.0,438.3616455250012,0.3668620674692221,,
