method,wall_clock_s,accuracy
fedbuff,2078.313035972,0.3992
fedbuff,2078.313313416,0.3992
fedbuff,2101.437558969,0.3992
fedbuff,2101.43858806,0.3992
fedbuff,2125.051823169,0.3992
fedbuff,2125.052460094,0.3992
fedbuff,2161.305306855,0.3996
fedbuff,2161.305936039,0.3996
fedbuff,2183.263302076,0.4003
fedbuff,2183.263868131,0.4003
fedbuff,2206.897059515,0.4
fedbuff,2206.89741644,0.4
fedbuff,2230.839484225,0.4009
fedbuff,2230.83974628,0.4009
fedbuff,2255.764539076,0.4016
fedbuff,2255.765096112,0.4016
fedbuff,2278.532065399,0.4022
fedbuff,2278.532498342,0.4022
fedbuff,2302.482886183,0.4025
fedbuff,2302.48353909,0.4025
fedbuff,2326.372147968,0.4026
fedbuff,2326.372945577,0.4026
fedbuff,2351.151804357,0.4023
fedbuff,2351.152268838,0.4023
fedbuff,2374.068432109,0.4029
fedbuff,2374.068892312,0.4029
fedbuff,2396.863927654,0.4028
fedbuff,2396.864626264,0.4028
fedbuff,2421.893261088,0.4026
fedbuff,2421.893519143,0.4026
fedbuff,2453.086526239,0.4026
fedbuff,2453.086922905,0.4026
fedbuff,2474.874823462,0.4039
fedbuff,2474.875116258,0.4039
fedbuff,2499.698078472,0.4048
fedbuff,2499.698329342,0.4048
fedbuff,2523.705079648,0.4046
fedbuff,2523.705328684,0.4046
fedbuff,2546.902196052,0.4049
fedbuff,2546.902433182,0.4049
fedbuff,2571.805762747,0.4052
fedbuff,2571.807923669,0.4052
fedbuff,2609.040830554,0.4047
fedbuff,2609.041071238,0.4047
fedbuff,2630.771041972,0.4058
fedbuff,2630.771409138,0.4058
fedbuff,2655.720429767,0.4053
fedbuff,2655.72068073,0.4053
fedbuff,2678.765555297,0.4059
fedbuff,2678.765764778,0.4059
fedbuff,2701.699737861,0.4061
fedbuff,2701.70010149,0.4061
fedbuff,2726.730775729,0.4067
fedbuff,2726.731025692,0.4067
fedbuff,2760.703761695,0.4072
