method,server_step,rpi4_update_share,rpi4_weight_share
fedstaleweight,109,0.1,0.16153846153846155
fedstaleweight,110,0.0,0.0
fedstaleweight,111,0.2,0.48235294117647054
fedstaleweight,112,0.1,0.3588235294117647
fedstaleweight,113,0.2,0.48235294117647054
fedstaleweight,114,0.1,0.22142857142857142
fedstaleweight,115,0.1,0.29285714285714287
fedstaleweight,116,0.1,0.23846153846153847
fedstaleweight,117,0.1,0.22142857142857142
fedstaleweight,118,0.2,0.56
fedstaleweight,119,0.1,0.22142857142857142
fedstaleweight,120,0.1,0.23846153846153847
fedstaleweight,121,0.1,0.34
fedstaleweight,122,0.1,0.23846153846153847
fedstaleweight,123,0.2,0.48235294117647054
fedstaleweight,124,0.1,0.3588235294117647
fedstaleweight,125,0.1,0.23846153846153847
fedstaleweight,126,0.2,0.48235294117647054
fedstaleweight,127,0.1,0.16153846153846155
fedstaleweight,128,0.1,0.34
fedstaleweight,129,0.1,0.22142857142857142
fedstaleweight,130,0.1,0.38125
fedstaleweight,131,0.2,0.48235294117647054
fedstaleweight,132,0.1,0.22142857142857142
fedstaleweight,133,0.1,0.34
fedstaleweight,134,0.1,0.23846153846153847
fedstaleweight,135,0.1,0.23846153846153847
fedstaleweight,136,0.2,0.56
fedstaleweight,137,0.1,0.22142857142857142
fedstaleweight,138,0.2,0.48235294117647054
fedstaleweight,139,0.1,0.16153846153846155
fedstaleweight,140,0.0,0.0
fedstaleweight,141,0.2,0.48235294117647054
fedstaleweight,142,0.1,0.3588235294117647
fedstaleweight,143,0.2,0.48235294117647054
fedstaleweight,144,0.1,0.22142857142857142
fedstaleweight,145,0.1,0.175
fedstaleweight,146,0.1,0.34
fedstaleweight,147,0.2,0.4235294117647059
fedstaleweight,148,0.1,0.3588235294117647
fedstaleweight,149,0.1,0.23846153846153847
fedstaleweight,150,0.1,0.23846153846153847
