method,seed,wall_clock_s,accuracy
fedbuff,1337,2782.647226612,0.4079
fedbuff,1337,2782.647476648,0.4079
fedbuff,1337,2806.240808403,0.4084
fedbuff,1337,2830.958292894,0.4085
fedbuff,1337,2854.773271653,0.4086
fedbuff,1337,2932.312717141,0.4098
fedbuff,1337,2956.373343323,0.4095
fedbuff,1337,3062.647747519,0.4107
fedbuff,1337,3122.571848079,0.4113
fedbuff,1337,3150.359365807,0.4116
fedbuff,1337,3241.203562459,0.411
fedbuff,1337,3263.144340044,0.4111
fedbuff,1337,3263.144700895,0.4111
fedbuff,1337,3287.114027814,0.4131
fedbuff,1337,3287.114388258,0.4131
fedbuff,1337,3480.599911856,0.4124
fedbuff,1337,3502.490555771,0.412
fedbuff,1337,3564.878439295,0.4124
fedbuff,1337,3658.036157443,0.4141
fedbuff,1337,3682.812201989,0.4142
fedbuff,1337,3739.656091524,0.4142
fedbuff,1337,3763.359380536,0.4143
fedbuff,1337,3763.35961398,0.4143
fedbuff,1337,3848.95208266,0.4149
fedbuff,1337,3872.012282229,0.4147
fedbuff,1337,66.812668329,0.1001
fedbuff,1337,148.523267437,0.2706
fedbuff,1337,184.364418029,0.2982
fedbuff,1337,236.853510229,0.3212
fedbuff,1337,258.834187331,0.3351
fedbuff,1337,281.544997083,0.3406
fedbuff,1337,281.545287694,0.3406
fedbuff,1337,346.337333783,0.3531
fedbuff,1337,370.454517714,0.351
fedbuff,1337,370.454926861,0.351
fedbuff,1337,395.281265979,0.3557
fedbuff,1337,442.722598412,0.3628
fedbuff,1337,479.901809817,0.3651
fedbuff,1337,501.669815165,0.3669
fedbuff,1337,526.34346912,0.3684
fedbuff,1337,558.582646841,0.3697
fedbuff,1337,580.34330095,0.3709
fedbuff,1337,604.252736739,0.3704
fedbuff,1337,628.252600711,0.3703
fedbuff,1337,653.23204827,0.3701
fedbuff,1337,746.295659885,0.3732
fedbuff,1337,746.295891792,0.3732
fedbuff,1337,770.945677764,0.3747
fedbuff,1337,770.945910505,0.3747
fedbuff,1337,794.687700075,0.3755
fedbuff,1337,817.54104734,0.3748
fedbuff,1337,842.491403089,0.3752
fedbuff,1337,866.385346985,0.3754
fedbuff,1337,866.386075891,0.3754
fedbuff,1337,889.220594997,0.3759
fedbuff,1337,889.221188607,0.3759
