profile,method,buffer_size,seed,run_id,source,target_reached,target_client_trips,target_wall_clock_s,final_acc,final_client_trips,final_wall_clock_s,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
none,fedstaleweight,5,1338,hmg55ujk,network_stressor_sweep,True,500,2335.101633893002,0.6004,500,2356.0320752219995,0.186,0.2880758042386858,4.989247311827957,2.213759213759214,0.21412344231305128
none,fedstaleweight,5,1339,yk3uqpnh,network_stressor_sweep,True,685,3040.0029348089593,0.6126,685,3061.09476471995,0.20583941605839415,0.3022029312715961,4.524822695035461,2.295955882352941,0.2253287298365871
mild,fedavg,,1337,i6bntwqf,network_stressor_sweep,True,465,4442.112492362998,0.6023,750,4711.0509773299855,,,,,0.1592001452773637
mild,fedavg,,1338,cwvfb928,network_stressor_sweep,True,345,4194.867298855999,0.6017,750,4291.44729276502,,,,,0.17476621494674535
mild,fedavg,,1339,it7x8vfb,network_stressor_sweep,True,465,4222.026404505945,0.6006,750,4442.714092535025,,,,,0.16881572488767738
mild,fedbuff,10,1337,2p9z7l7w,network_stressor_sweep,True,830,4347.089553659025,0.6085,830,4368.573104896001,0.20843373493975903,0.175340902573881,2.2832369942196533,1.1385083713850837,0.19093234444672844
mild,fedbuff,10,1338,2rp6pb6m,network_stressor_sweep,True,850,4382.191653281974,0.6037,850,4403.762321294984,0.2105882352941177,0.179637949216551,2.2402234636871508,1.1445603576751118,0.1939668702904415
mild,fedbuff,10,1339,jlylrg17,network_stressor_sweep,True,1020,2744.4064082370023,0.6012,1020,2765.476713425014,0.15098039215686274,0.11319451063084622,3.0844155844155843,1.0773672055427252,0.3716650700634549
mild,fedstaleweight,10,1337,drf94he0,network_stressor_sweep,True,610,3202.370441421983,0.6012,610,3223.7988486879913,0.2114754098360656,0.3254118009120414,2.255813953488372,1.133056133056133,0.19048389658790857
mild,fedstaleweight,10,1338,v0bgwzwy,network_stressor_sweep,True,580,3079.707693278033,0.6021,580,3100.956492790021,0.2120689655172414,0.31606374004066623,2.16260162601626,1.1531728665207877,0.1883295616872813
mild,fedstaleweight,10,1339,vac832ee,network_stressor_sweep,True,660,1733.1292531969957,0.6073,660,1754.1687441259855,0.14242424242424245,0.31078262559880193,3.3404255319148937,1.0424028268551238,0.3808140672615958
mild,fedasync,1,1337,4i9ojhfv,network_stressor_sweep,True,300,939.0280603529828,0.6028,300,960.285463843,0.13,0.07450029446666326,35.58974358974359,10.25287356321839,0.31947927081883937
mild,fedasync,1,1338,uav55bjs,network_stressor_sweep,True,370,1123.3904361469904,0.6212,370,1144.5801109139866,0.13783783783783785,0.08624094568097336,32.78431372549019,10.448275862068966,0.32936011211652083
mild,fedasync,1,1339,9xh5eogp,network_stressor_sweep,True,410,1241.3069587759965,0.6412,410,1262.5273023409827,0.14390243902439023,0.08857897782396854,32.08474576271186,10.52136752136752,0.33029702854826876
mild,fedbuff,5,1337,job3dtrj,network_stressor_sweep,True,520,3405.003968901001,0.6025,520,3426.135067752999,0.225,0.18836080356292875,4.145299145299146,2.334987593052109,0.15271641523749388
mild,fedbuff,5,1338,2f3o3hry,network_stressor_sweep,True,630,2837.9872591800013,0.6051,630,2859.26677391,0.1873015873015873,0.1471644055229955,4.915254237288136,2.2421875,0.22198831159729385
mild,fedbuff,5,1339,amlbrdo2,network_stressor_sweep,True,635,2809.9840780759987,0.6017,635,2831.0182104730047,0.2125984251968504,0.17574494933220325,4.362962962962963,2.31,0.22597992812642043
