run_id,regime,method,seed,model_rate,eval_acc,device_type,client_model_rate,node_id
i99r0zn3,iid,fedrolex,1340,0.125,0.468,rpi4,0.125,2132300967358459327
i99r0zn3,iid,fedrolex,1340,0.125,0.468,rpi4,0.25,6863569371797174374
i99r0zn3,iid,fedrolex,1340,0.125,0.452,rpi4,0.125,2012428488484327624
i99r0zn3,iid,fedrolex,1340,0.125,0.506,rpi4,0.125,5553132676197324731
i99r0zn3,iid,fedrolex,1340,0.125,0.472,rpi4,0.25,8940749807773186160
i99r0zn3,iid,fedrolex,1340,0.125,0.442,rpi4,0.25,16017520547227769899
i99r0zn3,iid,fedrolex,1340,0.125,0.462,rpi4,0.125,3062659353241181818
i99r0zn3,iid,fedrolex,1340,0.125,0.444,rpi4,0.25,5807758768395154128
i99r0zn3,iid,fedrolex,1340,0.25,0.644,rpi5,1.0,9578444352946599320
i99r0zn3,iid,fedrolex,1340,0.25,0.646,rpi5,1.0,7214210827289388172
i99r0zn3,iid,fedrolex,1340,0.25,0.622,rpi5,1.0,6491029980112882392
i99r0zn3,iid,fedrolex,1340,0.25,0.634,rpi5,1.0,10329491655507626176
i99r0zn3,iid,fedrolex,1340,0.25,0.648,rpi5,0.5,4357045699104165512
i99r0zn3,iid,fedrolex,1340,0.25,0.616,rpi5,1.0,8025589772372413376
i99r0zn3,iid,fedrolex,1340,0.25,0.602,rpi5,0.5,1350092422391739513
i99r0zn3,iid,fedrolex,1340,0.25,0.648,rpi5,0.5,3873233092758029672
i99r0zn3,iid,fedrolex,1340,0.25,0.628,rpi5,0.5,5114395857319699522
i99r0zn3,iid,fedrolex,1340,0.25,0.612,rpi5,0.5,2796807896880240181
i99r0zn3,iid,fedrolex,1340,0.25,0.632,rpi4,0.25,6863569371797174374
i99r0zn3,iid,fedrolex,1340,0.25,0.614,rpi4,0.25,8940749807773186160
i99r0zn3,iid,fedrolex,1340,0.25,0.614,rpi4,0.125,2132300967358459327
i99r0zn3,iid,fedrolex,1340,0.25,0.6,rpi4,0.25,16017520547227769899
i99r0zn3,iid,fedrolex,1340,0.25,0.602,rpi4,0.25,11383543845528589587
i99r0zn3,iid,fedrolex,1340,0.25,0.628,rpi4,0.125,3062659353241181818
i99r0zn3,iid,fedrolex,1340,0.25,0.602,rpi4,0.125,2012428488484327624
i99r0zn3,iid,fedrolex,1340,0.25,0.596,rpi4,0.125,1463201800534957734
i99r0zn3,iid,fedrolex,1340,0.25,0.638,rpi4,0.125,5553132676197324731
i99r0zn3,iid,fedrolex,1340,0.25,0.582,rpi4,0.25,5807758768395154128
i99r0zn3,iid,fedrolex,1340,0.5,0.696,rpi5,0.5,5114395857319699522
