run_id,method,regime,seed,node_id,device_type,model_rate,client_model_rate,eval_r2,num_examples
qxlnfxpu,FedRolex,iid,1337,4712956949897801561,rpi5,0.125,0.5,0.35046267419518373,206
qxlnfxpu,FedRolex,iid,1337,1569831328897619931,rpi5,0.125,0.5,0.31809976926008043,206
qxlnfxpu,FedRolex,iid,1337,14727399710503074402,rpi5,0.125,1.0,0.36405055366429717,206
qxlnfxpu,FedRolex,iid,1337,4868792756367052665,rpi4,0.125,0.125,0.3678870209377666,207
qxlnfxpu,FedRolex,iid,1337,10540470563812154262,rpi4,0.125,0.25,0.3418384980944954,207
qxlnfxpu,FedRolex,iid,1337,10893439222041456505,rpi4,0.125,0.25,0.35160975137527617,207
qxlnfxpu,FedRolex,iid,1337,11435327119724091724,rpi4,0.125,0.25,0.3269676546502688,207
qxlnfxpu,FedRolex,iid,1337,8307207962234214304,rpi4,0.125,0.125,0.35213460328293267,206
qxlnfxpu,FedRolex,iid,1337,1479090542817698672,rpi4,0.125,0.125,0.31204527603070764,207
qxlnfxpu,FedRolex,iid,1337,8389617384620187834,rpi4,0.125,0.25,0.2823731483085751,207
qxlnfxpu,FedRolex,iid,1337,6461691723196505333,rpi4,0.125,0.125,0.3190435520889231,206
qxlnfxpu,FedRolex,iid,1337,634290718570358062,rpi4,0.125,0.125,0.31270208980551795,207
qxlnfxpu,FedRolex,iid,1337,9225504568029699488,rpi4,0.125,0.25,0.36720551941908564,207
qxlnfxpu,FedRolex,iid,1337,4712956949897801561,rpi5,0.5,0.5,0.6825968644067862,206
qxlnfxpu,FedRolex,iid,1337,4426707768734690464,rpi5,0.5,0.5,0.6700795434845377,206
qxlnfxpu,FedRolex,iid,1337,14727399710503074402,rpi5,0.5,1.0,0.6721041081414183,206
qxlnfxpu,FedRolex,iid,1337,12552615541582918115,rpi5,0.5,1.0,0.6181435443595391,206
qxlnfxpu,FedRolex,iid,1337,1476246369391640779,rpi5,0.5,0.5,0.5950317280116857,206
qxlnfxpu,FedRolex,iid,1337,1569831328897619931,rpi5,0.5,0.5,0.6255504426362095,206
qxlnfxpu,FedRolex,iid,1337,11570147638579573881,rpi5,0.5,1.0,0.6789796561557848,206
qxlnfxpu,FedRolex,iid,1337,11291137218676695951,rpi5,0.5,1.0,0.5281340221608941,206
qxlnfxpu,FedRolex,iid,1337,1750324167379625933,rpi5,0.5,0.5,0.6986124150808659,206
qxlnfxpu,FedRolex,iid,1337,11476050192558106647,rpi5,0.5,1.0,0.6330352299742221,206
qxlnfxpu,FedRolex,iid,1337,8307207962234214304,rpi4,0.5,0.125,0.6933703670999808,206
qxlnfxpu,FedRolex,iid,1337,6461691723196505333,rpi4,0.5,0.125,0.6032668835471366,206
qxlnfxpu,FedRolex,iid,1337,10893439222041456505,rpi4,0.5,0.25,0.6696299924468153,207
qxlnfxpu,FedRolex,iid,1337,10540470563812154262,rpi4,0.5,0.25,0.6161139456737774,207
qxlnfxpu,FedRolex,iid,1337,4868792756367052665,rpi4,0.5,0.125,0.7056699923226388,207
qxlnfxpu,FedRolex,iid,1337,634290718570358062,rpi4,0.5,0.125,0.6390859038181904,207
qxlnfxpu,FedRolex,iid,1337,1479090542817698672,rpi4,0.5,0.125,0.5706589383245884,207
