regime,topology,method,x,n,eval_acc_mean,eval_acc_std
noniid,mixed,fedasync,500.0,3,0.4364714063807251,0.01034352431288086
noniid,mixed,fedasync,600.0,3,0.44341462652208435,0.04367989126080333
noniid,mixed,fedasync,700.0,3,0.4324222692600717,0.023241574058273835
noniid,mixed,fedasync,800.0,3,0.44516389144326957,0.029538276965958083
noniid,mixed,fedasync,900.0,3,0.5158334495574853,0.03262327611151622
noniid,mixed,fedasync,1000.0,3,0.524279093620053,0.03424029176571871
noniid,mixed,fedasync,1100.0,3,0.530020400885521,0.03116512811032686
noniid,mixed,fedasync,1200.0,3,0.5863680761427129,0.029467160770221643
noniid,mixed,fedasync,1300.0,3,0.5850739094082733,0.035179914648797564
noniid,mixed,fedasync,1400.0,3,0.6095774556947492,0.00851957266358195
noniid,mixed,fedasync,1500.0,3,0.6123333333333333,0.012919881320404348
noniid,mixed,fedavg,500.0,3,0.34411516233815886,0.021762667250338968
noniid,mixed,fedavg,600.0,3,0.37191919668914414,0.020678069670163758
noniid,mixed,fedavg,700.0,3,0.39165261009408775,0.019566188776270095
noniid,mixed,fedavg,800.0,3,0.40937416080459527,0.016700839204747315
noniid,mixed,fedavg,900.0,3,0.4260624928309074,0.015565794073690511
noniid,mixed,fedavg,1000.0,3,0.44011162720935065,0.014497287397068839
noniid,mixed,fedavg,1100.0,3,0.45164399857837073,0.014249464882358879
noniid,mixed,fedavg,1200.0,3,0.46264765050631795,0.014769475207767096
noniid,mixed,fedavg,1300.0,3,0.4718538673010697,0.013218401240539999
noniid,mixed,fedavg,1400.0,3,0.48022870886292174,0.011958586862169832
noniid,mixed,fedavg,1500.0,3,0.4876958664693903,0.01177130644252409
noniid,mixed,fedavg,1600.0,3,0.4958820747625949,0.011954029584945325
noniid,mixed,fedavg,1700.0,3,0.5028905880133724,0.013404412915483282
noniid,mixed,fedavg,1800.0,3,0.5085299795690129,0.012901250987361196
noniid,mixed,fedavg,1900.0,3,0.5155773052151406,0.011904341306006379
noniid,mixed,fedavg,2000.0,3,0.5213107128121904,0.012995407324563078
noniid,mixed,fedavg,2100.0,3,0.5267998044210627,0.012950242165240298
noniid,mixed,fedavg,2200.0,3,0.5326450409709095,0.012237919882088074
