task,task_label,regime,method,label,execution,coverage,target_acc,n,target_reached_count,target_censored,best_acc_mean,best_acc_std,final_acc_mean,final_acc_std,target_client_trips_mean,target_client_trips_std,target_wall_clock_min_mean,target_wall_clock_min_std,post_warmup_target_wall_clock_min_mean,post_warmup_target_wall_clock_min_std,runtime_min_mean,runtime_min_std,rpi4_weight_share_mean,rpi4_weight_share_std,coverage_gain_mean,coverage_gain_std,coverage_mass_mean,coverage_mass_std
cifar10_cnn,CIFAR-10,noniid,fedcover_050,FedCover (gamma=0.5),async,on,0.6,3,3,False,0.6056666666666667,0.004178915329763602,0.6056666666666667,0.004178915329763602,273.3333333333333,30.550504633038933,23.05690180625534,2.71707569443195,19.447898218943738,2.6572301539754943,23.40359584765069,2.7178638872494045,0.4501602274838874,0.015083858852345842,2.2219658692677817,0.3557916792407375,0.21874823917945227,0.08866593015044952
cifar10_cnn,CIFAR-10,noniid,fedcover_100,FedCover (gamma=1.0),async,on,0.6,3,3,False,0.6152666666666667,0.011278445519367212,0.6152666666666667,0.011278445519367212,220.0,91.6515138991168,18.846017201867003,7.132344575795031,15.313425593122114,7.116838068100427,19.19654385425577,7.132059292851787,0.43291477932777384,0.014405869963219993,2.81257700920105,0.09999616817732894,0.26786698897679645,0.09674718461673712
cifar10_cnn,CIFAR-10,noniid,fedcover_150,FedCover (gamma=1.5),async,on,0.6,3,3,False,0.6236666666666667,0.007356856212631376,0.6236666666666667,0.007356856212631376,186.66666666666666,11.547005383792515,16.30145893141097,0.27010339062857686,12.750934322761088,0.38561908287840657,16.648490491078054,0.2715748928879054,0.4421359525081546,0.025953671567874176,2.905233860015869,0.08195457261696364,0.2974952161312103,0.12592863761137224
cifar10_cnn,CIFAR-10,noniid,fedbuff_full,Full-model FedBuff,async,--,0.6,3,3,False,0.6157,0.01180381294328234,0.6157,0.01180381294328234,133.33333333333334,11.547005383792515,30.2169153812611,3.336288085909943,19.115242566927794,3.489058771417957,30.56114059137775,3.339643524976668,0.3261300293565079,0.014396200993815592,,,,
fashion_mnist_cnn,Fashion-MNIST,iid,heterofl,HeteroFL,sync,--,0.8,3,3,False,0.8018666666666666,0.001357694123627732,0.8018666666666666,0.001357694123627732,273.3333333333333,23.09401076758503,12.948596359794465,1.0500084848319418,12.035293532616683,1.0500018967807854,14.429805378450006,1.0725151477115584,0.5,0.0,,,,
fashion_mnist_cnn,Fashion-MNIST,iid,async_heterofl,Async HeteroFL,async,off,0.8,3,3,False,0.8020666666666667,0.0008962886439832794,0.8020666666666667,0.0008962886439832794,346.6666666666667,41.63331998932266,11.789573899405553,1.4048630687158652,10.128410527149995,1.385435950808586,11.906608279122196,1.4055586736721553,0.4119551845074714,0.0060220469003112,,,,
fashion_mnist_cnn,Fashion-MNIST,iid,fedcover_025,FedCover (gamma=0.25),async,on,0.8,3,3,False,0.8013666666666667,0.0005686240703077775,0.8013666666666667,0.0005686240703077775,306.6666666666667,11.547005383792515,10.575237782172755,0.42729934350454396,8.904063542816504,0.41139966506375486,10.693481294333468,0.42763888673224526,0.42143821032407064,0.008189474903992586,1.417382041613261,0.09864132991588935,0.2749256193637848,0.0788937086089012
fashion_mnist_cnn,Fashion-MNIST,iid,fedcover_050,FedCover (gamma=0.5),async,on,0.8,3,3,False,0.8018666666666667,0.002713546265191263,0.8018666666666667,0.002713546265191263,240.0,20.0,8.551084343700333,0.7228278564732573,6.889947293705255,0.7354096641918705,8.669257060661524,0.722867203414437,0.4026489753347458,0.015488489377121483,1.9927119811375935,0.5074763716583632,0.30815186599890393,0.16729958228141778
fashion_mnist_cnn,Fashion-MNIST,iid,fedcover_100,FedCover (gamma=1.0),async,on,0.8,3,3,False,0.8017666666666666,0.0003214550253664367,0.8017666666666666,0.0003214550253664367,166.66666666666666,11.547005383792515,6.151576028149833,0.2977030852704393,4.501469432765669,0.34480266749402944,6.267897236622716,0.2988604653338759,0.39353895984260795,0.004217013178069081,2.9267492294311523,0.04418050110009808,0.2694374571243922,0.09756979262699758
fashion_mnist_cnn,Fashion-MNIST,iid,fedcover_150,FedCover (gamma=1.5),async,on,0.8,3,3,False,0.8028333333333334,0.002615976554431115,0.8028333333333334,0.002615976554431115,160.0,20.0,6.008825195260578,0.6582083343476727,4.3819626859272836,0.6275595620112399,6.125278756744875,0.6612083960689432,0.38567732044902003,0.005854372833064763,2.933266003926595,0.05673117954835277,0.2450041671593984,0.038537976339687176
fashion_mnist_cnn,Fashion-MNIST,iid,fedbuff_full,Full-model FedBuff,async,--,0.8,3,3,False,0.8041666666666667,0.003108590248542464,0.8041666666666667,0.003108590248542464,160.0,20.0,7.173384090222155,0.7262877188963877,5.302935470383333,0.735313446266682,7.288064790222214,0.7256340106566979,0.3611266188816728,0.008355786661628693,,,,
fashion_mnist_cnn,Fashion-MNIST,noniid,heterofl,HeteroFL,sync,--,0.75,3,1,True,0.7395,0.01366052707621486,0.7395,0.01366052707621486,473.3333333333333,46.18802153517006,22.643854547088917,2.8358919367222994,21.813856927100034,2.894858024721172,23.136357595594504,2.0664467618998854,0.5,0.0,,,,
fashion_mnist_cnn,Fashion-MNIST,noniid,async_heterofl,Async HeteroFL,async,off,0.75,3,2,True,0.7580333333333332,0.011154520757671893,0.7386333333333334,0.043739036721598394,613.3333333333334,166.53327995729063,20.48350152587781,6.369936853555685,18.833097524616623,6.372779292685863,20.56073136015006,6.304406149970196,0.38673901911168734,0.014825276552039513,,,,
fashion_mnist_cnn,Fashion-MNIST,noniid,fedcover_025,FedCover (gamma=0.25),async,on,0.75,3,3,False,0.7582333333333334,0.008438799282678449,0.7582333333333334,0.008438799282678449,606.6666666666666,213.85353243127253,19.363131688315963,6.264708326765918,17.7588901157271,6.249374573943828,19.479472129288155,6.263733485004348,0.39278474266757274,0.023120376894971952,1.4450895388921101,0.11124123226231851,0.2572113523880641,0.07291737676599684
fashion_mnist_cnn,Fashion-MNIST,noniid,fedcover_050,FedCover (gamma=0.5),async,on,0.75,3,3,False,0.7522333333333333,0.001715614564327734,0.7522333333333333,0.001715614564327734,466.6666666666667,75.71877794400365,15.15591116633926,2.258183740695383,13.544932711655404,2.2792515205989887,15.273563091127693,2.258178077706846,0.39822117334095314,0.012635851022188973,1.7099090814590454,0.11885963581064413,0.35739046335220337,0.054207248283545645
fashion_mnist_cnn,Fashion-MNIST,noniid,fedcover_100,FedCover (gamma=1.0),async,on,0.75,3,3,False,0.7616,0.00953100204595506,0.7616,0.00953100204595506,460.0,295.9729717389748,15.537531657183878,9.896064159050047,13.379170510255628,9.004156012133935,16.565240373055634,11.469918655231663,0.39909446071206367,0.029485809477640176,2.456894556681315,0.5266950092896385,0.37386980652809143,0.14307110646805818
fashion_mnist_cnn,Fashion-MNIST,noniid,fedcover_150,FedCover (gamma=1.5),async,on,0.75,3,3,False,0.7606999999999999,0.010858637115218455,0.7606999999999999,0.010858637115218455,326.6666666666667,75.71877794400365,10.974225178133281,2.3023147698816406,9.346406372533076,2.2991955000869932,11.091795671143984,2.302288785562586,0.39895985941084106,0.009919040765933168,2.902109940846761,0.11608294294346629,0.36001209914684296,0.15250481913714903
fashion_mnist_cnn,Fashion-MNIST,noniid,fedbuff_full,Full-model FedBuff,async,--,0.75,3,3,False,0.7645,0.01794240786516683,0.7645,0.01794240786516683,180.0,40.0,7.715159782227743,1.4788245335271553,5.929001582622206,1.4717992107808222,7.832170389733356,1.4786424797810787,0.35607322703869054,0.029699619091478186,,,,
