case,server_round,n,wall_clock_mean_min,wall_clock_std_min,eval_acc_mean_pct,eval_acc_std_pct
C,13,3,42.36762619421666,15.090961256002437,61.693333333333335,2.8841000907273218
C,14,3,44.31371581999445,15.103714472766084,62.22333333333333,2.764820669290024
C,15,3,46.29000340641111,15.110048567793081,62.68666666666667,2.586393885960399
C,16,3,48.23772538045555,15.124595094549154,62.97,2.503417663914672
C,17,3,50.17293999416111,15.147360978165947,63.26333333333334,2.4804099123599146
C,18,3,52.1021864773611,15.175154046755416,63.64666666666667,2.462870953447082
C,19,3,54.04916516480555,15.188829594625236,63.89666666666667,2.368572002986893
C,20,3,56.00283580464444,15.216800155572122,64.29666666666667,2.3459823812921816
D,0,3,10.787866784822222,8.359502395406873,8.84,0.22649503305812224
D,1,3,23.34640568025,17.11386645053523,27.836666666666662,2.3268934941963577
D,2,3,25.297604057333334,17.14961852442076,38.54,4.295486002770815
D,3,3,27.248774203683336,17.182054616124734,42.56,3.919910713268865
D,4,3,29.19686484279444,17.193107702170995,46.416666666666664,3.9710997637094616
D,5,3,31.1557508131,17.21918196895883,49.75666666666666,3.8137951352076214
D,6,3,33.081088306472225,17.252630967981144,51.919999999999995,3.58104733283435
D,7,3,35.038600891866665,17.275331722724847,53.85333333333333,3.6113755458735284
D,8,3,36.98492244043333,17.304692041160475,55.126666666666665,3.4590509295662755
D,9,3,38.94301579938333,17.32795519877742,56.163333333333334,2.7027640173225134
D,10,3,40.89486915777223,17.363118076015354,57.169999999999995,2.9216262594657767
D,11,3,42.84116162362778,17.407868856785548,57.94333333333333,3.249866663931509
D,12,3,44.77281943206111,17.408247276532204,59.160000000000004,3.3054954242896772
D,13,3,46.70371556641667,17.428484041494233,59.82,3.650739651084422
D,14,3,48.65635116504445,17.463874696224586,60.07333333333333,3.5727627031938924
D,15,3,50.60911365605556,17.480384490576128,60.68333333333333,3.7937097059914
D,16,3,52.552444744461106,17.516302263266596,60.593333333333334,4.061580152272426
D,17,3,54.49935796870556,17.54510991650202,61.15,3.934933290412936
D,18,3,56.45651237504444,17.573702307440072,62.38333333333333,3.24509373259592
D,19,3,58.41400886412222,17.60415654887705,62.65666666666666,3.4144008747265318
D,20,3,60.36066529595001,17.63224735967875,62.74333333333334,2.8698664312705056
E,0,3,5.644147722361112,3.914765145136767,9.88,0.8098765338000604
E,1,3,21.748294160272224,11.640987986104232,27.560000000000002,2.9398129192178186
E,2,3,28.712176855438887,11.780077646030918,41.07666666666667,1.7911541902732262
E,3,3,35.68515023636667,11.954894440414025,45.54333333333333,4.695714358149708
E,4,3,42.6534924579,12.126684808858037,50.76333333333334,2.9940663541968
E,5,3,49.62252697816666,12.308593790310107,53.776666666666664,3.196393801353854
E,6,3,56.63212827237778,12.488783694665946,56.44333333333333,2.618020880996436
E,7,3,63.6046622785,12.609866857386177,58.406666666666666,2.3812251748487223
E,8,3,70.5733887165889,12.822832019998526,59.95333333333334,2.042604546487974
E,9,3,77.54490902628334,12.945573370966326,61.01,2.1134568838753207
E,10,3,84.52785328881112,13.119971499398252,62.14333333333334,1.9581709152505915
E,11,3,91.49208976117778,13.285806453980449,63.0,2.101927686672406
E,12,3,98.48355588488887,13.513626218379436,64.0,1.8907405956397085
E,13,3,105.49280471787779,13.714967723147241,64.65333333333334,1.8503062809527897
E,14,3,112.43911262810555,13.848509715189127,65.13333333333334,1.7973684467391065
E,15,3,119.43601969497222,14.00566212563328,65.70333333333333,1.908149190533412
E,16,3,126.42614011623334,14.189599717013452,66.2,2.0347235684485514
E,17,3,133.40775016141666,14.380961880138273,66.64333333333333,1.9322094434437838
E,18,3,140.4028597531111,14.530905460679005,67.17333333333333,1.9016396433954943
E,19,3,147.40510151836668,14.709224731500141,67.37333333333333,1.9589367864566989
E,20,3,154.35337035811668,14.898941827110566,67.82666666666667,1.7108574848108626
