regime,topology,method,seed,run_id,target_reached,target_client_trips,target_wall_clock_s,final_acc,client_trip_budget,final_client_trips,final_wall_clock_s,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
noniid,all_rpi5,fedasync,1339,o222rgnw,True,970,2412.796612053,0.6006,1000,970,2431.951981326,,,,13.88556701030928,0.402023110922162
noniid,all_rpi5,fedbuff,1337,k2bpz79x,False,,,0.5956,1000,1000,2340.14153665,,,,1.382,0.4308939996785442
noniid,all_rpi5,fedbuff,1338,y1zp1xa5,True,920,2168.7825611230073,0.6004,1000,920,2187.202917847,,,,1.3804347826086956,0.4242011239354576
noniid,all_rpi5,fedbuff,1339,gxhcey0d,False,,,0.5819,1000,1000,2370.274181567,,,,1.382,0.4251503319327655
noniid,all_rpi5,fedstaleweight,1337,59wlhy0n,True,630,1488.9608751759952,0.6025,1000,630,1508.10829775,,,,1.3714285714285714,0.4231138712261556
noniid,all_rpi5,fedstaleweight,1338,baw5mrtc,True,530,1302.6519306870032,0.6017,1000,530,1320.91480092,,,,1.3660377358490563,0.4068623302315948
noniid,all_rpi5,fedstaleweight,1339,nrfy8dhr,True,700,1665.4531989249808,0.6087,1000,700,1684.971923363,,,,1.3742857142857143,0.4203060166757235
iid,mixed,fedavg,1337,t9vlpy39,True,195,2091.3060326820014,0.6063,750,195,2193.957491034,,,,,
iid,mixed,fedavg,1338,5vjjx5qo,True,195,2098.4821259169985,0.6025,750,195,2329.685624998,,,,,
iid,mixed,fedavg,1339,3apbb0nc,True,195,2101.372841839009,0.6066,750,195,2332.216087636,,,,,
iid,mixed,fedasync,1337,iqm77w4f,True,140,623.0079660030005,0.6085,1500,140,642.397631076,0.11428571428571428,0.06215713443567857,37.5625,9.870967741935484,0.22471622778467928
iid,mixed,fedasync,1338,69uz6jnf,True,130,612.0820680479992,0.6006,1500,130,630.979557323,0.1153846153846154,0.06381782188324969,35.86666666666667,9.834782608695653,0.21238981957858216
iid,mixed,fedasync,1339,5uvtgprx,True,140,630.542992925999,0.6043,1500,140,649.784694738,0.12857142857142856,0.07467651876753757,33.611111111111114,10.0,0.22203085526387015
iid,mixed,fedbuff,1337,stlelmg4,True,370,1060.607330474999,0.6007,1500,370,1079.718210145,0.13243243243243244,0.09553144000463648,3.36734693877551,1.0373831775700937,0.3488567251692419
iid,mixed,fedbuff,1338,3f1a6ign,True,390,1138.378365135999,0.6004,1500,390,1156.849253408,0.1358974358974359,0.09960351295398805,3.2264150943396226,1.0445103857566769,0.342592596577859
iid,mixed,fedbuff,1339,gmlpn1sy,True,400,1213.9163263690134,0.6002,1500,400,1231.823586476,0.145,0.10917363731004118,3.103448275862069,1.0584795321637428,0.32951200285480436
iid,mixed,fedstaleweight,1337,4k0nvn9k,True,280,862.7468097300007,0.6022,1500,280,882.224145879,0.14285714285714285,0.2868104190056586,3.15,1.0291666666666666,0.3245448106468535
iid,mixed,fedstaleweight,1338,9p57d59x,True,280,835.5380049550004,0.601,1500,280,853.404391043,0.12857142857142856,0.27433091455205555,3.2777777777777777,1.028688524590164,0.3351134219383354
iid,mixed,fedstaleweight,1339,u2ichefy,True,280,898.0543632399931,0.6015,1500,280,916.420840074,0.14285714285714285,0.2749192646826373,3.05,1.0333333333333334,0.31178513401996993
noniid,mixed,fedavg,1337,0ysztwpg,True,465,4337.9159391540015,0.603,750,465,4427.849248564,,,,,
noniid,mixed,fedavg,1338,kqc9pciy,True,330,3540.563414858989,0.6001,750,330,3770.40217079,,,,,
noniid,mixed,fedavg,1339,5cari6u0,True,465,4250.2691552769975,0.6023,750,465,4481.305749602,,,,,
noniid,mixed,fedasync,1337,u2awvlob,True,370,1230.945546379,0.6012,1500,370,1249.666384899,0.12162162162162164,0.06767091736462533,37.666666666666664,10.236923076923077,0.30058193970351266
noniid,mixed,fedasync,1338,vnxrt39a,True,440,1388.0076740059994,0.6265,1500,440,1407.232042792,0.12954545454545455,0.07635475629782304,35.96491228070175,10.355091383812011,0.3170011292013204
noniid,mixed,fedasync,1339,utho3iov,True,360,1172.4121792650003,0.6093,1500,360,1191.805383066,0.1361111111111111,0.0805131230071251,34.3469387755102,10.389067524115756,0.3070592461993089
noniid,mixed,fedbuff,1337,j81afai0,True,870,2353.767631171002,0.604,1500,870,2373.4650668,0.13908045977011493,0.10103729127661568,3.322314049586777,1.061415220293725,0.369620173409885
noniid,mixed,fedbuff,1338,kouohvbb,True,860,2280.902073723002,0.6,1500,860,2299.239567289,0.14883720930232558,0.11020934730285592,3.265625,1.0478142076502732,0.3770438064428891
noniid,mixed,fedbuff,1339,o7i4mdii,True,1010,2530.178753004991,0.6005,1500,1010,2549.243206512,0.15148514851485148,0.11123076379235876,3.2091503267973858,1.0548424737456243,0.39918128266647707
noniid,mixed,fedstaleweight,1337,wyc9rjxq,True,660,1806.368915264,0.6024,1500,660,1825.442647788,0.1393939393939394,0.29352799634146376,3.3043478260869565,1.0528169014084507,0.36537386932587984
noniid,mixed,fedstaleweight,1338,b0xxbbi7,True,570,1625.7033320400078,0.6057,1500,570,1644.39106291,0.14736842105263157,0.29761843802023297,3.1785714285714284,1.0473251028806585,0.3506174766122535
noniid,mixed,fedstaleweight,1339,9qv2c0qb,True,670,1882.4259313690127,0.6054,1500,670,1901.530865101,0.15223880597014924,0.3002080924520387,3.0392156862745097,1.0721830985915493,0.35592369868849816
