case,seed,run_id,wall_clock_s,wall_clock_min,server_round,eval_acc
E,1339,1ncwevzt,1686.86070673,28.114345112166667,4,0.4921
E,1339,1ncwevzt,2080.957215416,34.68262025693333,5,0.5235
E,1339,1ncwevzt,2469.012768893,41.15021281488334,6,0.5548
E,1339,1ncwevzt,2860.021396764,47.667023279400006,7,0.5769
E,1339,1ncwevzt,3254.23877117,54.237312852833334,8,0.5934
E,1339,1ncwevzt,3643.513080555,60.72521800925001,9,0.6086
E,1339,1ncwevzt,4037.434898532,67.2905816422,10,0.6224
E,1339,1ncwevzt,4428.773921958,73.81289869929999,11,0.6377
E,1339,1ncwevzt,4822.874354193,80.38123923655,12,0.6455
E,1339,1ncwevzt,5215.092740877,86.91821234795,13,0.6534
E,1339,1ncwevzt,5609.210934668,93.48684891113334,14,0.6613
E,1339,1ncwevzt,6000.15857144,100.00264285733333,15,0.667
E,1339,1ncwevzt,6393.28167172,106.55469452866667,16,0.678
E,1339,1ncwevzt,6787.092297592,113.11820495986667,17,0.6848
E,1339,1ncwevzt,7180.887308433,119.68145514055,18,0.6916
E,1339,1ncwevzt,7575.783601275,126.26306002125001,19,0.6947
E,1339,1ncwevzt,7970.90230095,132.8483716825,20,0.7
