run_id,method,buffer_size,source,server_step,client_trips_total,node_id,device_type,staleness
f8r1yqsh,fedbuff,5,network_stressor_sweep,42,208,15227569813693182211,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,42,209,15850264181746673684,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,42,210,3881793369496197376,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,43,211,16788588506036931967,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,43,212,14244411391788972660,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,43,213,8604023571656330016,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,43,214,17865354463084643977,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,43,215,13203157195360056689,rpi4,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,44,216,2149541508140645213,rpi5,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,44,217,8335552894148306858,rpi5,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,44,218,14273504822268314706,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,44,219,1287847929735971682,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,44,220,15850264181746673684,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,45,221,2597728084587060721,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,45,222,2941161713698846158,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,45,223,14244411391788972660,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,45,224,8604023571656330016,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,45,225,17865354463084643977,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,46,226,15227569813693182211,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,46,227,15850264181746673684,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,46,228,2941161713698846158,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,46,229,14273504822268314706,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,46,230,2149541508140645213,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,47,231,3881793369496197376,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,47,232,8772456477865701634,rpi4,6
f8r1yqsh,fedbuff,5,network_stressor_sweep,47,233,1287847929735971682,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,47,234,2597728084587060721,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,47,235,8335552894148306858,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,48,236,16788588506036931967,rpi4,5
f8r1yqsh,fedbuff,5,network_stressor_sweep,48,237,8604023571656330016,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,48,238,17865354463084643977,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,48,239,13203157195360056689,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,48,240,14244411391788972660,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,49,241,2941161713698846158,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,49,242,14273504822268314706,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,49,243,15850264181746673684,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,49,244,1287847929735971682,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,49,245,15227569813693182211,rpi4,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,50,246,2597728084587060721,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,50,247,8335552894148306858,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,50,248,2149541508140645213,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,50,249,14273504822268314706,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,50,250,2941161713698846158,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,51,251,17865354463084643977,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,51,252,8604023571656330016,rpi5,3
